ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015908,fatty acid transport,18/1424,126/21338,0.14285714285714285,2.1406500802568216,3.433913258439885,0.0017682599140902652,0.010759181477272305,0.007547575573155673,CROT/NOS2/PTGS2/IL1B/PLA2G5/ANXA1/SLCO2B1/THBS1/TNFRSF11A/CRABP2/SLC27A3/PTGES/PLA2R1/FABP5/BDKRB2/PLA2G2C/PLA2G2A/LYN,18
GO:0045687,positive regulation of glial cell differentiation,9/1424,43/21338,0.20930232558139536,3.1363012803762738,3.74973285639206,0.001825848921910025,0.011060968797172657,0.007759279652018879,TNFRSF1B/TGFB1/CXCR4/EGR2/LIF/SHH/SPINT1/CLCF1/GSX2,9
GO:0002347,response to tumor cell,12/1424,69/21338,0.17391304347826086,2.606008793356131,3.573068567561234,0.0018881502584037078,0.011413414826180492,0.00800652086130738,SPI1/GZMB/TGFB1/NKG7/CRTAM/CD274/HAVCR2/MR1/LAPTM5/PRF1/HLA-DRB1/MICA,12
GO:0015850,organic hydroxy compound transport,37/1424,336/21338,0.11011904761904762,1.6500844368646335,3.2118222514510295,0.0019103611913956551,0.01153508169766384,0.008091870282098339,MSR1/OSBPL3/ABCB11/OPRK1/APOB/PLTP/LIPG/AQP9/LILRB1/CAV1/CXCL12/ABCC3/SPP1/NPC2/CLU/SLCO2B1/STRA6/CYP19A1/EGF/MTTP/FURIN/ABCA8/SLC16A3/AGTR1/CHRNA6/FCER1G/SHH/LIPC/EMB/C1QTNF1/ABCA13/MAPK15/ANXA2/NPY2R/CES1/TGM2/ADORA3,37
GO:0008360,regulation of cell shape,21/1424,158/21338,0.13291139240506328,1.9916174797326127,3.3454316487514557,0.0019420123340477802,0.011700677142135539,0.00820803563671761,HEXB/HCK/CCL7/CCL2/FN1/PTK2B/RHOJ/RAC2/ANXA1/ITGA7/SHROOM3/PARVG/ARHGAP18/F11R/ITGB2/PDPN/CDC42EP5/CCL13/FES/CSF1R/FMNL1,21
GO:0002040,sprouting angiogenesis,26/1424,212/21338,0.12264150943396226,1.8377278990884036,3.2779678800231107,0.0019811357450697743,0.011792287482578427,0.008272300373699306,ALOX5/PTGS2/NRP1/HMOX1/SRPX2/TGFB1/MEOX2/ADTRP/NR2E1/FGF1/PTK2B/RHOJ/LOXL2/ANXA1/IL10/THBS1/EPHA2/AGTR1/VEGFC/ANGPT1/CREB3L1/ITGA5/FOXC2/EGR3/EPHB4/TGM2,26
GO:0033622,integrin activation,7/1424,28/21338,0.25,3.7461376404494384,3.888230598197541,0.001983342308519191,0.011792287482578427,0.008272300373699306,CXCL12/FN1/SKAP1/FERMT3/CXCL13/MZB1/PTGER4,7
GO:0052547,regulation of peptidase activity,7/1424,28/21338,0.25,3.7461376404494384,3.888230598197541,0.001983342308519191,0.011792287482578427,0.008272300373699306,SERPINB1/TIMP1/RCN3/ECM1/CRB2/A2ML1/CR1,7
GO:0071380,cellular response to prostaglandin E stimulus,6/1424,21/21338,0.2857142857142857,4.281300160513643,4.022860625162897,0.001984903726523947,0.011792287482578427,0.008272300373699306,TNFSF4/PTGER2/IGFBP7/PTGER4/P2RY6/CCL19,6
GO:0072577,endothelial cell apoptotic process,14/1424,88/21338,0.1590909090909091,2.383905771195097,3.478650610576328,0.001996131083609284,0.01184627846725038,0.008310175098458012,ICAM1/CD40/TGFB1/SERPINE1/GATA3/CCL2/F3/TNFAIP3/IL10/THBS1/ANGPT1/ANGPTL4/CD248/GAS6,14
