Pathway,CellType,rho,p_value,p_adjust,Subtype
Neural__central.nervous.system.neuron.differentiation,Radial glial,0.20692473118279564,0.0205929520533831,0.03072770332572871,ME
Neural__regulation.of.postsynaptic.membrane.potential,Radial glial,0.020878648233486938,0.8172289898393413,0.846946407651681,ME
Neural__synapse.assembly,Radial glial,0.13215975422427034,0.14177875840234974,0.17342036971961236,ME
Neural__regulation.of.synapse.structure.or.activity,Radial glial,0.16537634408602148,0.06531428158255928,0.08446438371858257,ME
Neural__axonogenesis,Radial glial,0.17155760368663592,0.05574664532462344,0.07389671589543106,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Monocytes,0.719416282642089,3.370686909244453e-21,7.389582839497455e-20,ME
MesWoundHealing__adaptive.immune.response,Monocytes,0.7129032258064515,1.1042924667024228e-20,2.248023950072789e-19,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Monocytes,0.7361351766513056,1.3664913178113038e-22,3.2454168798018464e-21,ME
MesWoundHealing__leukocyte.mediated.immunity,Monocytes,0.6941566820276497,2.817215415632404e-19,4.7229787850307954e-18,ME
MesWoundHealing__leukocyte.migration,Monocytes,0.7404976958525344,5.686779757162648e-23,1.4733929370830498e-21,ME
Proliferation__chromosome.segregation,Monocytes,-0.33156989247311824,1.5856894419999067e-4,3.895874922154943e-4,ME
Proliferation__nuclear.chromosome.segregation,Monocytes,-0.3310537634408601,1.625843994200378e-4,3.92682659616193e-4,ME
Proliferation__sister.chromatid.segregation,Monocytes,-0.33370199692780333,1.4293854289619242e-4,3.542389976123029e-4,ME
Proliferation__nuclear.division,Monocytes,-0.3546728110599078,4.9438295233836324e-5,1.3418965849184146e-4,ME
Proliferation__mRNA.processing,Monocytes,-0.4636743471582181,5.160596413893915e-8,2.2627230430150246e-7,ME
Neural__central.nervous.system.neuron.differentiation,Monocytes,-0.292036866359447,9.510703922070267e-4,0.0019641671143405984,ME
Neural__regulation.of.postsynaptic.membrane.potential,Monocytes,-0.1955944700460829,0.028815367889797557,0.04106189924296152,ME
Neural__synapse.assembly,Monocytes,-0.35816282642089087,4.112670397411431e-5,1.1270298685214019e-4,ME
Neural__regulation.of.synapse.structure.or.activity,Monocytes,-0.3668325652841781,2.579143148662281e-5,7.136464052123787e-5,ME
Neural__axonogenesis,Monocytes,-0.395563748079877,4.977163004526533e-6,1.5213179235550535e-5,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,TAM,0.7675944700460828,1.6098004256795025e-25,5.734914016483227e-24,ME
MesWoundHealing__adaptive.immune.response,TAM,0.8055913978494622,9.687908043854325e-30,6.902634481246207e-28,ME
MesWoundHealing__positive.regulation.of.cytokine.production,TAM,0.8156251920122887,5.171795293263488e-31,4.9132055286003133e-29,ME
MesWoundHealing__leukocyte.mediated.immunity,TAM,0.8360737327188938,7.2862610667114454e-34,2.0765844040127617e-31,ME
MesWoundHealing__leukocyte.migration,TAM,0.7852043010752686,2.2770241432027754e-27,9.270741154468443e-26,ME
Proliferation__chromosome.segregation,TAM,-0.4733517665130567,2.4773110726270955e-8,1.1767227594978703e-7,ME
